siteID,dateCollected,pelletLength,pelletDryMass,pelletID,species,genus,numberOfIndividuals,vertOrInvert
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Armadillidium sp. Brandt, 1831",Armadillidium,1,Invertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Calathus sp. Bonelli, 1810",Calathus,4,Invertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Forficula auricularia Linnaeus, 1758",Forficula,23,Invertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,Rodentia sp.,Rodentia,1,Vertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Armadillidium sp. Brandt, 1831",Armadillidium,35,Invertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Calathus sp. Bonelli, 1810",Calathus,7,Invertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Forficula auricularia Linnaeus, 1758",Forficula,78,Invertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,2,Vertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Calathus sp. Bonelli, 1810",Calathus,0,Invertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Forficula auricularia Linnaeus, 1758",Forficula,10,Invertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Mus musculus Linnaeus, 1758",Mus,2,Vertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
